"timestamp","open","high","low","close","volume","company","previous","vix.previous.rate"
2020-01-02,13.46,13.72,12.42,12.47,0,"vix",NA,NA
2020-01-03,15.01,16.2,13.13,14.02,0,"vix",12.47,NA
2020-01-06,15.45,16.39,13.54,13.85,0,"vix",14.02,1.1242983159583
2020-01-07,13.84,14.46,13.39,13.79,0,"vix",13.85,0.987874465049929
2020-01-08,15.16,15.24,12.83,13.45,0,"vix",13.79,0.995667870036101
2020-01-09,12.95,13.24,12.53,12.54,0,"vix",13.45,0.975344452501813
2020-01-10,12.42,12.87,12.09,12.56,0,"vix",12.54,0.932342007434944
2020-01-13,12.84,13.09,12.32,12.32,0,"vix",12.56,1.00159489633174
2020-01-14,12.72,13.82,12.05,12.39,0,"vix",12.32,0.980891719745223
2020-01-15,12.79,12.83,11.95,12.42,0,"vix",12.39,1.00568181818182
2020-01-16,12.2,12.42,11.78,12.32,0,"vix",12.42,1.00242130750605
2020-01-17,12.21,12.48,11.75,12.1,0,"vix",12.32,0.99194847020934
2020-01-21,13.23,13.33,12.32,12.85,0,"vix",12.1,0.982142857142857
2020-01-22,12.45,13.01,12.31,12.91,0,"vix",12.85,1.06198347107438
2020-01-23,13.26,14.15,12.94,12.98,0,"vix",12.91,1.00466926070039
2020-01-24,12.75,15.98,12.62,14.56,0,"vix",12.98,1.00542215336948
2020-01-27,17.42,19.02,16.82,18.23,0,"vix",14.56,1.12172573189522
2020-01-28,16.94,18.03,15.69,16.28,0,"vix",18.23,1.25206043956044
2020-01-29,15.68,16.65,14.94,16.39,0,"vix",16.28,0.893033461327482
2020-01-30,17.82,18.39,15.3,15.49,0,"vix",16.39,1.00675675675676
2020-01-31,16.25,19.99,16.18,18.84,0,"vix",15.49,0.945088468578401
2020-02-03,18.64,18.88,17.1,17.97,0,"vix",18.84,1.21626856036152
2020-02-04,16.45,16.46,15.63,16.05,0,"vix",17.97,0.953821656050955
2020-02-05,16.29,16.32,15.02,15.15,0,"vix",16.05,0.893155258764608
2020-02-06,15.13,15.66,14.7,14.96,0,"vix",15.15,0.94392523364486
2020-02-07,15.07,16.16,14.81,15.47,0,"vix",14.96,0.987458745874587
2020-02-10,15.88,16.43,15.01,15.04,0,"vix",15.47,1.03409090909091
2020-02-11,14.91,15.27,14.38,15.18,0,"vix",15.04,0.972204266321913
2020-02-12,14.86,14.88,13.73,13.74,0,"vix",15.18,1.0093085106383
2020-02-13,14.43,15.44,14,14.15,0,"vix",13.74,0.905138339920949
2020-02-14,14.12,14.54,13.38,13.68,0,"vix",14.15,1.02983988355167
2020-02-18,14.98,15.49,14.53,14.83,0,"vix",13.68,0.96678445229682
2020-02-19,14.66,14.74,14.21,14.38,0,"vix",14.83,1.08406432748538
2020-02-20,14.54,17.21,14.49,15.56,0,"vix",14.38,0.969656102494943
2020-02-21,17.33,18.21,16.19,17.08,0,"vix",15.56,1.08205841446453
2020-02-24,22.25,26.35,22,25.03,0,"vix",17.08,1.09768637532134
2020-02-25,23.28,30.25,22.62,27.85,0,"vix",25.03,1.46545667447307
2020-02-26,26.63,29.57,24.76,27.56,0,"vix",27.85,1.11266480223732
2020-02-27,32.14,39.31,29.37,39.16,0,"vix",27.56,0.989587073608618
2020-02-28,42.02,49.48,39.37,40.11,0,"vix",39.16,1.42089985486212
2020-03-02,38.54,40.41,31.5,33.42,0,"vix",40.11,1.02425944841675
2020-03-03,33.65,41.06,24.93,36.82,0,"vix",33.42,0.833208676140613
2020-03-04,34.44,35.58,30.3,31.99,0,"vix",36.82,1.1017354877319
2020-03-05,33.61,42.84,33.54,39.62,0,"vix",31.99,0.868821292775665
2020-03-06,48.93,54.39,40.84,41.94,0,"vix",39.62,1.23851203501094
2020-03-09,41.94,62.12,41.94,54.46,0,"vix",41.94,1.05855628470469
2020-03-10,49.68,55.66,43.56,47.3,0,"vix",54.46,1.29852169766333
2020-03-11,52.24,55.82,49.98,53.9,0,"vix",47.3,0.86852735952993
2020-03-12,61.46,76.83,59.91,75.47,0,"vix",53.9,1.13953488372093
2020-03-13,65.07,77.57,55.17,57.83,0,"vix",75.47,1.40018552875696
2020-03-16,57.83,83.56,57.83,82.69,0,"vix",57.83,0.766264740956672
2020-03-17,82.69,84.83,70.37,75.91,0,"vix",82.69,1.42988068476569
2020-03-18,69.37,85.47,69.37,76.45,0,"vix",75.91,0.918007014149232
2020-03-19,80.62,84.26,68.57,72,0,"vix",76.45,1.00711368726123
2020-03-20,67.86,69.51,57.42,66.04,0,"vix",72,0.941792020928712
2020-03-23,74.08,76.74,60.46,61.59,0,"vix",66.04,0.917222222222222
2020-03-24,58.76,61.88,36.24,61.67,0,"vix",61.59,0.932616596002423
2020-03-25,61.44,68.86,58.03,63.95,0,"vix",61.67,1.00129891216107
2020-03-26,65.67,67.06,57.66,61,0,"vix",63.95,1.03697097454192
2020-03-27,64.95,69.1,61.8,65.54,0,"vix",61,0.953870211102424
2020-03-30,66.3,67.69,56.6,57.08,0,"vix",65.54,1.0744262295082
2020-03-31,56.69,58.75,50.88,53.54,0,"vix",57.08,0.870918523039365
2020-04-01,57.38,60.59,52.76,57.06,0,"vix",53.54,0.937981779957954
2020-04-02,54.46,57.24,50.45,50.91,0,"vix",57.06,1.06574523720583
2020-04-03,51.11,52.29,46.74,46.8,0,"vix",50.91,0.892218717139853
2020-04-06,44.17,45.73,43.45,45.24,0,"vix",46.8,0.919269298762522
2020-04-07,44.83,47.51,43.51,46.7,0,"vix",45.24,0.966666666666667
2020-04-08,45.9,47.28,42.53,43.35,0,"vix",46.7,1.03227232537577
2020-04-09,43,45.73,41.39,41.67,0,"vix",43.35,0.928265524625268
2020-04-13,44.6,45.04,41.17,41.17,0,"vix",41.67,0.961245674740484
2020-04-14,40.24,40.57,37.31,37.76,0,"vix",41.17,0.988000959923206
2020-04-15,42.57,43.23,40.05,40.84,0,"vix",37.76,0.917172698566918
2020-04-16,41.92,43.02,39.87,40.11,0,"vix",40.84,1.08156779661017
2020-04-17,39.5,40.26,37.63,38.15,0,"vix",40.11,0.982125367286973
2020-04-20,40.68,43.83,39.88,43.83,0,"vix",38.15,0.951134380453752
2020-04-21,44.28,47.77,43.77,45.41,0,"vix",43.83,1.14888597640891
2020-04-22,44.91,45.07,41.41,41.98,0,"vix",45.41,1.03604836869724
2020-04-23,41.3,42.47,39.06,41.38,0,"vix",41.98,0.924465976657124
2020-04-24,38.8,40.17,35.6,35.93,0,"vix",41.38,0.985707479752263
2020-04-27,36.29,36.44,32.51,33.29,0,"vix",35.93,0.86829386176897
2020-04-28,33.21,35.39,30.54,33.57,0,"vix",33.29,0.926523796270526
2020-04-29,32.48,33.19,30.71,31.23,0,"vix",33.57,1.00841093421448
2020-04-30,30.99,35.94,30.93,34.15,0,"vix",31.23,0.93029490616622
2020-05-01,38.17,39.57,36.59,37.19,0,"vix",34.15,1.09349983989753
2020-05-04,39.13,40.32,35.53,35.97,0,"vix",37.19,1.08901903367496
2020-05-05,34.82,36.22,31.95,33.61,0,"vix",35.97,0.967195482656628
2020-05-06,32.69,35.69,31.68,34.12,0,"vix",33.61,0.934389769252155
2020-05-07,32.12,32.28,30.37,31.44,0,"vix",34.12,1.01517405534067
2020-05-08,30.14,30.39,27.89,27.98,0,"vix",31.44,0.921453692848769
2020-05-11,28.46,31.46,26.97,27.57,0,"vix",27.98,0.889949109414758
2020-05-12,28.47,33.04,26,33.04,0,"vix",27.57,0.985346676197284
2020-05-13,32.74,37.42,30.77,35.28,0,"vix",33.04,1.19840406238665
2020-05-14,35.16,39.28,32.33,32.61,0,"vix",35.28,1.06779661016949
2020-05-15,32.5,35.13,31.04,31.89,0,"vix",32.61,0.924319727891156
2020-05-18,30.71,31.08,28.35,29.3,0,"vix",31.89,0.977920883164673
2020-05-19,28.73,30.74,28.37,30.53,0,"vix",29.3,0.918783317654437
2020-05-20,29.52,29.83,27.83,27.99,0,"vix",30.53,1.0419795221843
2020-05-21,28.97,30.2,27.67,29.53,0,"vix",27.99,0.916803144448084
2020-05-22,31.36,31.55,28.03,28.16,0,"vix",29.53,1.05501964987496
2020-05-26,27.72,28.58,27.18,28.01,0,"vix",28.16,0.953606501862513
2020-05-27,27.62,30.53,25.92,27.62,0,"vix",28.01,0.994673295454546
2020-05-28,27.82,29.89,27.43,28.59,0,"vix",27.62,0.986076401285255
2020-05-29,29.3,30.16,27.29,27.51,0,"vix",28.59,1.03511947863867
2020-06-01,28.94,30.6,28.11,28.23,0,"vix",27.51,0.962224554039874
2020-06-02,28.4,28.52,26.66,26.84,0,"vix",28.23,1.02617230098146
2020-06-03,26.75,26.98,25.04,25.66,0,"vix",26.84,0.950761601133546
2020-06-04,26.23,26.43,24.38,25.81,0,"vix",25.66,0.956035767511177
2020-06-05,24.79,25.09,23.54,24.52,0,"vix",25.81,1.00584567420109
2020-06-08,25.56,25.98,24.65,25.81,0,"vix",24.52,0.950019372336304
2020-06-09,25.93,27.7,25.71,27.57,0,"vix",25.81,1.0526101141925
2020-06-10,26.73,29.01,26.06,27.57,0,"vix",27.57,1.06819062378923
2020-06-11,30.45,42.58,29.49,40.79,0,"vix",27.57,1
2020-06-12,37.68,44.16,34.97,36.09,0,"vix",40.79,1.47950671019224
2020-06-15,44.09,44.44,34.28,34.4,0,"vix",36.09,0.884775680313802
2020-06-16,34.28,37.45,31.73,33.67,0,"vix",34.4,0.953172623995566
2020-06-17,33.28,35.17,32.25,33.47,0,"vix",33.67,0.978779069767442
2020-06-18,33.83,36.25,32.24,32.94,0,"vix",33.47,0.994059994059994
2020-06-19,32.07,35.12,30.4,35.12,0,"vix",32.94,0.984164923812369
2020-06-22,35.22,35.39,31.64,31.77,0,"vix",35.12,1.06618093503339
2020-06-23,31.71,31.71,29.26,31.37,0,"vix",31.77,0.904612756264237
2020-06-24,31.05,37.12,30.95,33.84,0,"vix",31.37,0.987409505823104
2020-06-25,36.59,36.93,31.59,32.22,0,"vix",33.84,1.07873764743385
2020-06-26,33.01,36.25,31.04,34.73,0,"vix",32.22,0.952127659574468
2020-06-29,35.05,36.31,31.78,31.78,0,"vix",34.73,1.07790192427064
2020-06-30,32.54,32.94,29.56,30.43,0,"vix",31.78,0.915059026778002
2020-07-01,30.96,31.76,28.2,28.62,0,"vix",30.43,0.957520453115167
2020-07-02,28.33,28.44,25.9,27.68,0,"vix",28.62,0.940519224449556
2020-07-06,27.76,28.33,24.92,27.94,0,"vix",27.68,0.967155835080363
2020-07-07,28.77,29.63,27.25,29.43,0,"vix",27.94,1.00939306358382
